ID;Age;Sexe;Situation professionnelle avant le confinement;Useless Column;Useless Column;cognitive_rigidity_1;cognitive_rigidity_2;cognitive_rigidity_3;cognitive_rigidity_4;att_switch_1;att_switch_2;att_switch_3;att_switch_4;att_switch_5;att_switch_6;att_switch_7;att_switch_8;att_switch_9;att_switch_10;nflex_1;nflex_2;nflex_3;nflex_4;nflex_5;nflex_6;nflex_7;nflex_8;nflex_9;nflex_10;cfs_1;cfs_2;cfs_3;cfs_4;cfs_5;cfs_6;cfs_7;cfs_8;cfs_9;cfs_10;cfs_11;cfs_12;Error countNombre_error_count;Pourcentage_error_count;Nombre_perseveration_error_count;Pourcentage_perseveration_error_count;Nombre_non_perseveration_error_count;Pourcentage_non_perseveration_error_count
49;21;Femme;Etudiant;;;2;4;3;4;3;3;3;3;4;2;4;2;1;2;3;4;6;5;5;4;2;3;1;5;5;3;4;4;1;4;5;3;5;4;4;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
50;23;Femme;Etudiant;;;1;4;3;6;4;4;2;2;1;4;4;4;3;4;5;4;6;4;6;3;4;4;5;6;6;5;5;4;2;4;6;6;6;3;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
51;22;Homme;Etudiant;;;6;3;4;2;3;3;4;3;2;3;4;2;4;3;4;3;5;4;3;3;4;6;4;5;3;3;2;6;3;6;5;5;4;3;3;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
52;23;Femme;Travailleur;;;2;4;2;2;3;3;2;2;1;3;3;3;3;3;5;5;4;4;5;3;4;4;2;5;5;5;5;3;3;5;5;4;4;6;6;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
53;22;Femme;Etudiant;;;3;4;3;4;3;2;3;2;3;3;3;2;3;3;3;4;4;3;4;3;4;4;3;3;2;2;3;4;3;4;4;4;3;3;4;3;7;12;5;8;2;3
54;20;Femme;Etudiant;;;2;4;5;3;3;2;3;2;2;3;3;3;3;4;5;5;4;4;4;2;4;4;3;4;4;5;2;4;2;3;4;5;3;4;5;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
55;48;Homme;Travailleur;;;4;2;3;4;2;3;2;2;2;3;3;2;3;3;5;4;3;3;4;3;4;3;4;3;4;4;1;3;4;3;3;4;3;2;5;4;9;15;5;8;4;7
56;21;Homme;Etudiant;;;5;4;4;4;2;4;1;4;1;3;3;3;4;4;4;5;3;3;5;5;3;6;2;6;4;4;4;5;3;4;4;4;3;1;6;3;5;8;5;8;0;0
57;22;Homme;Etudiant;;;6;4;6;5;3;3;3;3;3;2;4;3;1;1;6;5;5;5;5;6;2;6;3;6;5;1;1;4;2;5;4;4;5;1;6;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
58;25;Homme;Etudiant;;;5;1;5;6;4;1;4;3;1;3;2;4;3;4;6;6;2;6;2;3;4;3;5;6;6;6;1;6;4;6;6;6;6;1;6;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
59;60;Homme;Sans emploi;;;5;4;5;4;2;3;2;4;3;3;2;3;4;4;4;4;4;5;3;4;3;4;2;5;5;5;2;5;3;4;3;3;4;2;4;3;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
61;23;Femme;Travailleur;;;5;4;4;4;3;2;3;2;4;1;4;3;2;1;6;5;5;4;3;5;4;3;3;6;6;2;1;5;1;4;4;3;4;1;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
62;22;Femme;Etudiant;;;2;5;2;2;3;4;4;2;4;3;3;4;3;2;4;5;3;6;5;6;4;4;4;6;4;1;2;4;1;6;4;5;5;3;6;4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
65;22;Femme;Etudiant;;;3;4;3;3;3;4;4;4;3;3;3;3;4;3;5;4;4;4;4;5;5;5;3;4;5;3;4;3;3;4;4;4;4;2;5;5;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
66;25;Homme;Etudiant;;;5;3;4;4;4;4;3;1;3;3;4;4;4;2;6;6;3;4;4;6;1;5;5;6;6;2;2;6;1;6;6;6;6;2;6;6;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
67;53;Homme;Travailleur;;;5;2;5;4;3;2;3;2;2;4;4;3;4;2;5;5;4;4;4;5;6;5;2;4;3;4;2;5;3;5;5;4;4;3;5;4;18;30;14;23;4;7
